v0ait____a	avoir
v1____p_e_	insurger
v1____p_e_	interpénétrer
v1____p_e_	invaginer
v1____p_e_	invétérer
v1____p_e_	lexicaliser
v1____p_e_	libaniser
v1____p_e_	lignifier
v1____p_e_	macchaber
v1____p_e_	magner
v1____p_e_	marrer
v1____p_e_	motter
v1____p_e_	murger
v1____p_e_	mutiner
v1____p_e_	mécompter
v1____p_e_	méfier
v1____p_e_	mésallier
v1____p_e_	navaler
v1____p_e_	néguer
v1____p_e_	obstiner
v1____p_e_	opiniâtrer
v1____p_e_	ourder
v1____p_e_	paddocker
v1____p_e_	pageoter
v1____p_e_	pagnoter
v1____p_e_	pajoter
v1____p_e_	parjurer
v1____p_e_	pavaner
v1____p_e_	pieuter
v1____p_e_	pistacher
v1____p_e_	pocharder
v1____p_e_	pochetronner
v1____p_e_	poiler
v1____p_e_	poivroter
v1____p_e_	pommeler
v1____p_e_	pourprer
v1____p_e_	prélasser
v1____p_e_	pâmer
v1____p_e_	périmer
v1____p_e_	racrapoter
v1____p_e_	raviser
v1____p_e_	rebeller
v1____p_e_	rebiffer
v1____p_e_	rebonneter
v1____p_e_	recroqueviller
v1____p_e_	relaisser
v1____p_e_	renfrogner
v1____p_e_	rengorger
v1____p_e_	revancher
v1____p_e_	réapproprier
v1____p_e_	rébellionner
v1____p_e_	récrier
v1____p_e_	réfugier
v1____p_e_	s'abader
v1____p_e_	s'abriller
v1____p_e_	silicatiser
v1____p_e_	suicider
v1____p_e_	targuer
v1____p_e_	trémousser
v1____p_e_	vallonner
v1____p_e_	vautrer
v1____p_e_	vermouler
v1____p_e_	ébrouer
v1____p_e_	écrier
v1____p_e_	écrouler
v1____p_e_	égailler
v1____p_e_	égosiller
v1____p_e_	énamourer
v1____p_e_	épivarder
v1____p_e_	époumoner
v1____p_e_	évader
v1____p_e_	évertuer
v1____q_e_	palucher
v1____q_e_	pignoler
v1____r_e_	contre-pousser
v1____r_e_	contrepousser
v1____r_e_	entr'aimer
v1____r_e_	entr'égorger
v1____r_e_	entraccorder
v1____r_e_	entraccuser
v1____r_e_	entradmirer
v1____r_e_	entraider
v1____r_e_	entraimer
v1____r_e_	entre-déchirer
v1____r_e_	entre-dévorer
v1____r_e_	entre-frapper
v1____r_e_	entre-heurter
v1____r_e_	entre-louer
v1____r_e_	entre-manger
v1____r_e_	entre-regarder
v1____r_e_	entre-tuer
v1____r_e_	entre-égorger
v1____r_e_	entredéchirer
v1____r_e_	entredévorer
v1____r_e_	entrefrapper
v1____r_e_	entreheurter
v1____r_e_	entrelouer
v1____r_e_	entremanger
v1____r_e_	entreregarder
v1____r_e_	entretuer
v1____r_e_	entrégorger
v1___n___a	accéder
v1___n___a	bénéficier
v1___n__zz	déroger
v1___n__zz	exciper
v1___n__zz	incomber
v1___n__zz	mésuser
v1___n__zz	obvier
v1___n__zz	participer
v1___n__zz	profiter
v1___n__zz	raffoler
v1___n__zz	remédier
v1___n__zz	retéléphoner
v1___n__zz	tabler
v1___nq_zz	achopper
v1___nq_zz	confiner
v1___nq_zz	ressembler
v1___nq_zz	référer
v1___nq_zz	succéder
v1__t____a	acter
v1__t____a	adopter
v1__t____a	aiguiller
v1__t____a	appréhender
v1__t____a	assassiner
v1__t____a	asserter
v1__t____a	attester
v1__t____a	capturer
v1__t____a	carbonitrurer
v1__t____a	cerner
v1__t____a	chaudronner
v1__t____a	concerner
v1__t____a	concurrencer
v1__t____a	concéder
v1__t____a	convalider
v1__t____a	convoquer
v1__t____a	didactiser
v1__t____a	diplômer
v1__t____a	discerner
v1__t____a	déceler
v1__t____a	décohabiter
v1__t____a	défacer
v1__t____a	délinéariser
v1__t____a	démarcher
v1__t____a	démenotter
v1__t____a	désajuster
v1__t____a	déthéiner
v1__t____a	dévitaminer
v1__t____a	emmener
v1__t____a	ensimer
v1__t____a	handicaper
v1__t____a	illégaliser
v1__t____a	implémenter
v1__t____a	influencer
v1__t____a	introjecter
v1__t____a	lourder
v1__t____a	manufacturer
v1__t____a	marchandiser
v1__t____a	nécessiter
v1__t____a	ozoner
v1__t____a	ozoniser
v1__t____a	poétiser
v1__t____a	privilégier
v1__t____a	préfinancer
v1__t____a	présonoriser
v1__t____a	pucer
v1__t____a	pyrolyser
v1__t____a	rebasculer
v1__t____a	renfourcher
v1__t____a	renouer
v1__t____a	retoquer
v1__t____a	réenfourcher
v1__t____a	réimplémenter
v1__t____a	sommer
v1__t____a	souhaiter
v1__t____a	sous-informer
v1__t____a	surdoser
v1__t____a	ségréger
v1__t____a	ségréguer
v1__t____a	thermoformer
v1__t____a	titrer
v1__t____a	tutorer
v1__t____a	télédéclarer
v1__t____a	utiliser
v1__t___zz	abalober
v1__t___zz	abat-carrer
v1__t___zz	abecquer
v1__t___zz	abhorrer
v1__t___zz	abicher
v1__t___zz	abloquer
v1__t___zz	abominer
v1__t___zz	aborner
v1__t___zz	abouquer
v1__t___zz	abouter
v1__t___zz	abraquer
v1__t___zz	abricoter
v1__t___zz	abrévier
v1__t___zz	absolutiser
v1__t___zz	abécher
v1__t___zz	abéquer
v1__t___zz	abêtifier
v1__t___zz	accaparer
v1__t___zz	accastiller
v1__t___zz	accessoiriser
v1__t___zz	accidenter
v1__t___zz	acclamer
v1__t___zz	accolader
v1__t___zz	accorer
v1__t___zz	accouer
v1__t___zz	acculer
v1__t___zz	acculturer
v1__t___zz	acenser
v1__t___zz	achalander
v1__t___zz	achaler
v1__t___zz	achromatiser
v1__t___zz	aciduler
v1__t___zz	aciseler
v1__t___zz	aciérer
v1__t___zz	actionner
v1__t___zz	actualiser
v1__t___zz	acérer
v1__t___zz	acétifier
v1__t___zz	acétyler
v1__t___zz	adirer
v1__t___zz	adjectiver
v1__t___zz	adjectiviser
v1__t___zz	adjurer
v1__t___zz	adsorber
v1__t___zz	adultérer
v1__t___zz	adverbialiser
v1__t___zz	affaiter
v1__t___zz	affamer
v1__t___zz	affaîter
v1__t___zz	affectionner
v1__t___zz	affermer
v1__t___zz	affiler
v1__t___zz	afflouer
v1__t___zz	affouager
v1__t___zz	affouiller
v1__t___zz	affourager
v1__t___zz	affourcher
v1__t___zz	affourrager
v1__t___zz	affriander
v1__t___zz	affricher
v1__t___zz	affrioler
v1__t___zz	affriter
v1__t___zz	affréter
v1__t___zz	affurer
v1__t___zz	affuter
v1__t___zz	afféager
v1__t___zz	affûter
v1__t___zz	agender
v1__t___zz	agrafer
v1__t___zz	agrainer
v1__t___zz	agresser
v1__t___zz	agricher
v1__t___zz	agrémenter
v1__t___zz	aguicher
v1__t___zz	aicher
v1__t___zz	aiguilleter
v1__t___zz	aiguillonner
v1__t___zz	ailler
v1__t___zz	ajointer
v1__t___zz	ajourer
v1__t___zz	alambiquer
v1__t___zz	alcaliniser
v1__t___zz	alcaliser
v1__t___zz	alcoholiser
v1__t___zz	alerter
v1__t___zz	aleviner
v1__t___zz	allécher
v1__t___zz	allégoriser
v1__t___zz	alléguer
v1__t___zz	alpaguer
v1__t___zz	alphabétiser
v1__t___zz	aluminer
v1__t___zz	aluner
v1__t___zz	aléser
v1__t___zz	amadouer
v1__t___zz	ambitionner
v1__t___zz	ambrer
v1__t___zz	amenuiser
v1__t___zz	amidonner
v1__t___zz	amnistier
v1__t___zz	amodier
v1__t___zz	amordancer
v1__t___zz	amourer
v1__t___zz	amurer
v1__t___zz	aménuiser
v1__t___zz	analgésier
v1__t___zz	anathématiser
v1__t___zz	anatomiser
v1__t___zz	anglaiser
v1__t___zz	animaliser
v1__t___zz	aniser
v1__t___zz	anneler
v1__t___zz	annoter
v1__t___zz	annualiser
v1__t___zz	anodiser
v1__t___zz	anticommuter
v1__t___zz	antidater
v1__t___zz	antiquer
v1__t___zz	antéposer
v1__t___zz	anémier
v1__t___zz	aouter
v1__t___zz	aoûter
v1__t___zz	apanager
v1__t___zz	apeurer
v1__t___zz	apiquer
v1__t___zz	aposter
v1__t___zz	apostiller
v1__t___zz	appairer
v1__t___zz	appertiser
v1__t___zz	apposer
v1__t___zz	approximer
v1__t___zz	appâter
v1__t___zz	appéter
v1__t___zz	apurer
v1__t___zz	araser
v1__t___zz	arbitrer
v1__t___zz	arborer
v1__t___zz	architecturer
v1__t___zz	ardoiser
v1__t___zz	argougner
v1__t___zz	ariser
v1__t___zz	armorier
v1__t___zz	arnacher
v1__t___zz	arnaquer
v1__t___zz	aromatiser
v1__t___zz	arpenter
v1__t___zz	arpigner
v1__t___zz	arquebuser
v1__t___zz	arquepincer
v1__t___zz	arraisonner
v1__t___zz	arrenter
v1__t___zz	arrimer
v1__t___zz	arriser
v1__t___zz	arriérer
v1__t___zz	arçonner
v1__t___zz	ascensionner
v1__t___zz	aseptiser
v1__t___zz	aspecter
v1__t___zz	asphalter
v1__t___zz	assaisonner
v1__t___zz	assarmenter
v1__t___zz	assener
v1__t___zz	assermenter
v1__t___zz	assigner
v1__t___zz	assiéger
v1__t___zz	assoiffer
v1__t___zz	assoler
v1__t___zz	asséner
v1__t___zz	asticoter
v1__t___zz	astiquer
v1__t___zz	atterrer
v1__t___zz	attiser
v1__t___zz	attitrer
v1__t___zz	attriquer
v1__t___zz	auditer
v1__t___zz	auner
v1__t___zz	aurifier
v1__t___zz	authentiquer
v1__t___zz	autographier
v1__t___zz	automatiser
v1__t___zz	autopsier
v1__t___zz	avaler
v1__t___zz	avaliser
v1__t___zz	avantager
v1__t___zz	aviner
v1__t___zz	aviver
v1__t___zz	avocasser
v1__t___zz	avoiner
v1__t___zz	avoyer
v1__t___zz	axiomatiser
v1__t___zz	azimuter
v1__t___zz	azimuther
v1__t___zz	azurer
v1__t___zz	baffer
v1__t___zz	bafouer
v1__t___zz	baguer
v1__t___zz	bailler
v1__t___zz	baisoter
v1__t___zz	balafrer
v1__t___zz	balanstiquer
v1__t___zz	baleiner
v1__t___zz	ballaster
v1__t___zz	ballonner
v1__t___zz	balter
v1__t___zz	bananer
v1__t___zz	bancariser
v1__t___zz	bancher
v1__t___zz	banner
v1__t___zz	baquer
v1__t___zz	baqueter
v1__t___zz	baratter
v1__t___zz	barbouiller
v1__t___zz	barder
v1__t___zz	barioler
v1__t___zz	baronner
v1__t___zz	basaner
v1__t___zz	bassiner
v1__t___zz	bastillonner
v1__t___zz	bastionner
v1__t___zz	bazarder
v1__t___zz	becquer
v1__t___zz	becqueter
v1__t___zz	becqueter
v1__t___zz	becter
v1__t___zz	benner
v1__t___zz	berner
v1__t___zz	biffer
v1__t___zz	bigarrer
v1__t___zz	billonner
v1__t___zz	biloquer
v1__t___zz	biologiser
v1__t___zz	biopsier
v1__t___zz	biper
v1__t___zz	biscuiter
v1__t___zz	biseauter
v1__t___zz	bisegmenter
v1__t___zz	bisser
v1__t___zz	bistourner
v1__t___zz	bistrer
v1__t___zz	biter
v1__t___zz	bitter
v1__t___zz	bitumer
v1__t___zz	bituminer
v1__t___zz	bizuter
v1__t___zz	blackbouler
v1__t___zz	blacklister
v1__t___zz	blairer
v1__t___zz	blasonner
v1__t___zz	bleuter
v1__t___zz	bloguer
v1__t___zz	bluter
v1__t___zz	bobiner
v1__t___zz	bocarder
v1__t___zz	boetter
v1__t___zz	boiser
v1__t___zz	boiter
v1__t___zz	bolcheviser
v1__t___zz	bolchéviser
v1__t___zz	bombarder
v1__t___zz	bonder
v1__t___zz	bondonner
v1__t___zz	bondériser
v1__t___zz	booster
v1__t___zz	border
v1__t___zz	bordurer
v1__t___zz	bordéliser
v1__t___zz	borgnoter
v1__t___zz	bosseler
v1__t___zz	bossuer
v1__t___zz	botteler
v1__t___zz	boucharder
v1__t___zz	boudiner
v1__t___zz	bouleverser
v1__t___zz	bouliner
v1__t___zz	bourreler
v1__t___zz	bouteiller
v1__t___zz	bouter
v1__t___zz	bouturer
v1__t___zz	boycotter
v1__t___zz	brader
v1__t___zz	braiser
v1__t___zz	brancarder
v1__t___zz	branlocher
v1__t___zz	braser
v1__t___zz	brasseyer
v1__t___zz	braver
v1__t___zz	brayer
v1__t___zz	breller
v1__t___zz	bretteler
v1__t___zz	bretter
v1__t___zz	breveter
v1__t___zz	brider
v1__t___zz	briefer
v1__t___zz	briffer
v1__t___zz	briguer
v1__t___zz	brillanter
v1__t___zz	brillantiner
v1__t___zz	brimer
v1__t___zz	briocher
v1__t___zz	briquer
v1__t___zz	briqueter
v1__t___zz	broadcaster
v1__t___zz	brocarder
v1__t___zz	brocher
v1__t___zz	brouetter
v1__t___zz	broyer
v1__t___zz	bruiter
v1__t___zz	brusquer
v1__t___zz	brutaliser
v1__t___zz	bréler
v1__t___zz	brêler
v1__t___zz	budgéter
v1__t___zz	budgétiser
v1__t___zz	buriner
v1__t___zz	buser
v1__t___zz	butter
v1__t___zz	bâcher
v1__t___zz	bâillonner
v1__t___zz	bâter
v1__t___zz	bâtonner
v1__t___zz	bèqueter
v1__t___zz	béatifier
v1__t___zz	bégaler
v1__t___zz	bémoliser
v1__t___zz	béquer
v1__t___zz	béqueter
v1__t___zz	bêcheveter
v1__t___zz	cabaner
v1__t___zz	cabosser
v1__t___zz	cacheter
v1__t___zz	cachotter
v1__t___zz	cadastrer
v1__t___zz	cadeauter
v1__t___zz	cadenasser
v1__t___zz	cadencer
v1__t___zz	cadoter
v1__t___zz	caillasser
v1__t___zz	caillebotter
v1__t___zz	caillouter
v1__t___zz	cajoler
v1__t___zz	calamistrer
v1__t___zz	calandrer
v1__t___zz	calciner
v1__t___zz	calfater
v1__t___zz	calibrer
v1__t___zz	calligraphier
v1__t___zz	calomnier
v1__t___zz	calorifuger
v1__t___zz	calotter
v1__t___zz	calquer
v1__t___zz	cambrioler
v1__t___zz	camionner
v1__t___zz	canaliser
v1__t___zz	canneler
v1__t___zz	canoniser
v1__t___zz	canonner
v1__t___zz	canuler
v1__t___zz	caoutchouter
v1__t___zz	capahuter
v1__t___zz	capeler
v1__t___zz	caporaliser
v1__t___zz	capsuler
v1__t___zz	capter
v1__t___zz	capuchonner
v1__t___zz	caquer
v1__t___zz	carbonater
v1__t___zz	carboniser
v1__t___zz	carder
v1__t___zz	carencer
v1__t___zz	carguer
v1__t___zz	caricaturer
v1__t___zz	carmer
v1__t___zz	carminer
v1__t___zz	caroubler
v1__t___zz	carreler
v1__t___zz	carrosser
v1__t___zz	carroyer
v1__t___zz	carter
v1__t___zz	cartographier
v1__t___zz	casemater
v1__t___zz	caserner
v1__t___zz	castrer
v1__t___zz	caséifier
v1__t___zz	cataloguer
v1__t___zz	catalyser
v1__t___zz	catapulter
v1__t___zz	catastropher
v1__t___zz	catéchiser
v1__t___zz	cautionner
v1__t___zz	cautériser
v1__t___zz	caviarder
v1__t___zz	caïmanter
v1__t___zz	ceinturer
v1__t___zz	cendrer
v1__t___zz	center
v1__t___zz	centraliser
v1__t___zz	centrifuger
v1__t___zz	cercler
v1__t___zz	certifier
v1__t___zz	chabler
v1__t___zz	chagriner
v1__t___zz	chainer
v1__t___zz	chamarrer
v1__t___zz	chambarder
v1__t___zz	chambouler
v1__t___zz	chambrer
v1__t___zz	chamoiser
v1__t___zz	champagniser
v1__t___zz	champlever
v1__t___zz	chanfreiner
v1__t___zz	chansonner
v1__t___zz	chantourner
v1__t___zz	chapeauter
v1__t___zz	chapeler
v1__t___zz	chaperonner
v1__t___zz	chapitrer
v1__t___zz	chaponner
v1__t___zz	chaptaliser
v1__t___zz	charioter
v1__t___zz	charpenter
v1__t___zz	charrioter
v1__t___zz	charroyer
v1__t___zz	chartériser
v1__t___zz	chatouiller
v1__t___zz	chauler
v1__t___zz	chaîner
v1__t___zz	chemiser
v1__t___zz	chevaler
v1__t___zz	cheviller
v1__t___zz	chevronner
v1__t___zz	chiader
v1__t___zz	chicotter
v1__t___zz	chimer
v1__t___zz	chiper
v1__t___zz	chirographier
v1__t___zz	chlorer
v1__t___zz	chloroformer
v1__t___zz	chlorurer
v1__t___zz	chocotter
v1__t___zz	chofer
v1__t___zz	choper
v1__t___zz	chosifier
v1__t___zz	chouchouter
v1__t___zz	choufer
v1__t___zz	chouraver
v1__t___zz	chourer
v1__t___zz	chouriner
v1__t___zz	choyer
v1__t___zz	christianiser
v1__t___zz	chromer
v1__t___zz	chronométrer
v1__t___zz	châtrer
v1__t___zz	cibler
v1__t___zz	cintrer
v1__t___zz	cinématographier
v1__t___zz	circonstancier
v1__t___zz	cirer
v1__t___zz	cisailler
v1__t___zz	ciseler
v1__t___zz	citer
v1__t___zz	clacher
v1__t___zz	clamer
v1__t___zz	clamper
v1__t___zz	claper
v1__t___zz	classifier
v1__t___zz	claver
v1__t___zz	claveter
v1__t___zz	clavetter
v1__t___zz	clayonner
v1__t___zz	clicher
v1__t___zz	clienter
v1__t___zz	climatiser
v1__t___zz	clisser
v1__t___zz	cloisonner
v1__t___zz	cloner
v1__t___zz	clouer
v1__t___zz	clouter
v1__t___zz	coacher
v1__t___zz	coasser
v1__t___zz	cocher
v1__t___zz	cocufier
v1__t___zz	codifier
v1__t___zz	codiriger
v1__t___zz	codécider
v1__t___zz	coffrer
v1__t___zz	cofinancer
v1__t___zz	cofonder
v1__t___zz	cogérer
v1__t___zz	cokser
v1__t___zz	cokéfier
v1__t___zz	collectionner
v1__t___zz	collectiviser
v1__t___zz	colliger
v1__t___zz	colloquer
v1__t___zz	colmater
v1__t___zz	coloniser
v1__t___zz	colorier
v1__t___zz	coloriser
v1__t___zz	colporter
v1__t___zz	combler
v1__t___zz	commanditer
v1__t___zz	commercialiser
v1__t___zz	commissionner
v1__t___zz	commotionner
v1__t___zz	commuer
v1__t___zz	communaliser
v1__t___zz	communautariser
v1__t___zz	commémorer
v1__t___zz	compacter
v1__t___zz	compartimenter
v1__t___zz	compasser
v1__t___zz	compiler
v1__t___zz	compisser
v1__t___zz	complimenter
v1__t___zz	complémenter
v1__t___zz	composter
v1__t___zz	compresser
v1__t___zz	comptabiliser
v1__t___zz	compulser
v1__t___zz	computer
v1__t___zz	concasser
v1__t___zz	concaténer
v1__t___zz	concocter
v1__t___zz	concréter
v1__t___zz	concélébrer
v1__t___zz	conditionner
v1__t___zz	confiancer
v1__t___zz	configurer
v1__t___zz	confisquer
v1__t___zz	confiturer
v1__t___zz	confédérer
v1__t___zz	conglutiner
v1__t___zz	congréer
v1__t___zz	congédier
v1__t___zz	connecter
v1__t___zz	connobler
v1__t___zz	connoter
v1__t___zz	conobrer
v1__t___zz	conscientiser
v1__t___zz	consigner
v1__t___zz	conspuer
v1__t___zz	consteller
v1__t___zz	consterner
v1__t___zz	constitutionnaliser
v1__t___zz	contacter
v1__t___zz	contagionner
v1__t___zz	containériser
v1__t___zz	contaminer
v1__t___zz	conteneuriser
v1__t___zz	conter
v1__t___zz	contextualiser
v1__t___zz	contingenter
v1__t___zz	contourner
v1__t___zz	contractualiser
v1__t___zz	contracturer
v1__t___zz	contre-buter
v1__t___zz	contre-calquer
v1__t___zz	contre-indiquer
v1__t___zz	contre-miner
v1__t___zz	contre-murer
v1__t___zz	contre-passer
v1__t___zz	contre-percer
v1__t___zz	contre-plaquer
v1__t___zz	contre-profiler
v1__t___zz	contre-sceller
v1__t___zz	contre-tirer
v1__t___zz	contrebouter
v1__t___zz	contrebuter
v1__t___zz	contrecalquer
v1__t___zz	contrecarrer
v1__t___zz	contrecoller
v1__t___zz	contremander
v1__t___zz	contremarquer
v1__t___zz	contreminer
v1__t___zz	contremurer
v1__t___zz	contrepasser
v1__t___zz	contrepercer
v1__t___zz	contreplaquer
v1__t___zz	contreprofiler
v1__t___zz	contresceller
v1__t___zz	contresigner
v1__t___zz	contretirer
v1__t___zz	contrindiquer
v1__t___zz	contrister
v1__t___zz	controuver
v1__t___zz	contusionner
v1__t___zz	conventionner
v1__t___zz	convier
v1__t___zz	convoyer
v1__t___zz	convulsionner
v1__t___zz	coopter
v1__t___zz	coorganiser
v1__t___zz	copartager
v1__t___zz	copermuter
v1__t___zz	copiloter
v1__t___zz	coposséder
v1__t___zz	coquer
v1__t___zz	coqueter
v1__t___zz	coquiller
v1__t___zz	coraniser
v1__t___zz	cordeler
v1__t___zz	corder
v1__t___zz	cordonner
v1__t___zz	cornaquer
v1__t___zz	corporiser
v1__t___zz	correctionnaliser
v1__t___zz	corroborer
v1__t___zz	corroder
v1__t___zz	corroyer
v1__t___zz	corréler
v1__t___zz	corseter
v1__t___zz	cosigner
v1__t___zz	cosmétiquer
v1__t___zz	couder
v1__t___zz	coudoyer
v1__t___zz	couiller
v1__t___zz	couillonner
v1__t___zz	coupailler
v1__t___zz	coupeller
v1__t___zz	coupler
v1__t___zz	courbaturer
v1__t___zz	courser
v1__t___zz	court-circuiter
v1__t___zz	courtauder
v1__t___zz	courtiser
v1__t___zz	couteauner
v1__t___zz	coutoner
v1__t___zz	coutoyer
v1__t___zz	couturer
v1__t___zz	covoiturer
v1__t___zz	coxer
v1__t___zz	coéditer
v1__t___zz	craner
v1__t___zz	cranter
v1__t___zz	crasser
v1__t___zz	crayonner
v1__t___zz	cribler
v1__t___zz	criminaliser
v1__t___zz	critiquer
v1__t___zz	crocheter
v1__t___zz	crosser
v1__t___zz	crucifier
v1__t___zz	cryogéniser
v1__t___zz	crypter
v1__t___zz	cryptographier
v1__t___zz	crèneler
v1__t___zz	crèteler
v1__t___zz	crédibiliser
v1__t___zz	créditer
v1__t___zz	créneler
v1__t___zz	créner
v1__t___zz	créosoter
v1__t___zz	crétiniser
v1__t___zz	cuivrer
v1__t___zz	cumuler
v1__t___zz	cureter
v1__t___zz	customiser
v1__t___zz	cuveler
v1__t___zz	cyanoser
v1__t___zz	cybersquatter
v1__t___zz	cycliser
v1__t___zz	cylindrer
v1__t___zz	câbler
v1__t___zz	câliner
v1__t___zz	cégotter
v1__t___zz	cémenter
v1__t___zz	césariser
v1__t___zz	côcher
v1__t___zz	dactylographier
v1__t___zz	daguer
v1__t___zz	daigner
v1__t___zz	daller
v1__t___zz	damasquiner
v1__t___zz	damasser
v1__t___zz	densifier
v1__t___zz	denteler
v1__t___zz	dessabler
v1__t___zz	desseller
v1__t___zz	dessoler
v1__t___zz	dessoucher
v1__t___zz	dessouffler
v1__t___zz	dessuinter
v1__t___zz	destituer
v1__t___zz	devancer
v1__t___zz	diaboliser
v1__t___zz	diagnostiquer
v1__t___zz	diagonaliser
v1__t___zz	dialectaliser
v1__t___zz	dialectiser
v1__t___zz	dialyser
v1__t___zz	diamanter
v1__t___zz	diaprer
v1__t___zz	dicter
v1__t___zz	diffamer
v1__t___zz	difformer
v1__t___zz	diffracter
v1__t___zz	digitaliser
v1__t___zz	dilacérer
v1__t___zz	dilapider
v1__t___zz	diligenter
v1__t___zz	dimensionner
v1__t___zz	dindonner
v1__t___zz	diphtonguer
v1__t___zz	dirimer
v1__t___zz	discipliner
v1__t___zz	discompter
v1__t___zz	discounter
v1__t___zz	discriminer
v1__t___zz	discrétiser
v1__t___zz	discursiviser
v1__t___zz	disgracier
v1__t___zz	dispatcher
v1__t___zz	disproportionner
v1__t___zz	dissimiler
v1__t___zz	dissuader
v1__t___zz	disséquer
v1__t___zz	diviniser
v1__t___zz	diéser
v1__t___zz	diéséliser
v1__t___zz	doler
v1__t___zz	domestiquer
v1__t___zz	domicilier
v1__t___zz	dompter
v1__t___zz	doser
v1__t___zz	douer
v1__t___zz	dragonner
v1__t___zz	dragéifier
v1__t___zz	drainer
v1__t___zz	drapeler
v1__t___zz	drayer
v1__t___zz	driller
v1__t___zz	drosser
v1__t___zz	dudgeonner
v1__t___zz	dulcifier
v1__t___zz	duplexer
v1__t___zz	dupliquer
v1__t___zz	dynamiser
v1__t___zz	dynamiter
v1__t___zz	déactiver
v1__t___zz	débalourder
v1__t___zz	débanaliser
v1__t___zz	débaptiser
v1__t___zz	débarboter
v1__t___zz	débarder
v1__t___zz	débarrer
v1__t___zz	débecter
v1__t___zz	débenzoler
v1__t___zz	débiliter
v1__t___zz	débillarder
v1__t___zz	débiter
v1__t___zz	déblayer
v1__t___zz	débobiner
v1__t___zz	déboguer
v1__t___zz	déboiser
v1__t___zz	débosseler
v1__t___zz	déboucler
v1__t___zz	déboulonner
v1__t___zz	débourber
v1__t___zz	débourser
v1__t___zz	déboussoler
v1__t___zz	débouter
v1__t___zz	débriefer
v1__t___zz	débrocher
v1__t___zz	débroussailler
v1__t___zz	débrousser
v1__t___zz	débrôler
v1__t___zz	débudgétiser
v1__t___zz	débuller
v1__t___zz	débureaucratiser
v1__t___zz	débusquer
v1__t___zz	débâillonner
v1__t___zz	débâter
v1__t___zz	décacheter
v1__t___zz	décadenasser
v1__t___zz	décadrer
v1__t___zz	décaféiner
v1__t___zz	décaisser
v1__t___zz	décalaminer
v1__t___zz	décalcariser
v1__t___zz	décaler
v1__t___zz	décalotter
v1__t___zz	décalquer
v1__t___zz	décapeler
v1__t___zz	décaper
v1__t___zz	décapitaliser
v1__t___zz	décapiter
v1__t___zz	décapoter
v1__t___zz	décapsuler
v1__t___zz	décapuchonner
v1__t___zz	décarbonater
v1__t___zz	décarburer
v1__t___zz	décarpiller
v1__t___zz	décarreler
v1__t___zz	décartonner
